,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,GW,opp_team
0,Aaron Connolly,FWD,Brighton,0.5,0,0,-3,0,0.3,2,0,2020-09-14T19:15:00Z,45,0,0,0,0,0,32205,3,1,32.0,1,55,True,0,1,Chelsea
1,Aaron Cresswell,DEF,West Ham,2.1,0,0,11,0,11.2,2,0,2020-09-12T19:00:00Z,90,0,0,0,0,0,70232,2,0,0.0,1,50,True,0,1,Newcastle
2,Aaron Mooy,MID,Brighton,0.0,0,0,0,0,0.0,0,0,2020-09-14T19:15:00Z,0,0,0,0,0,0,2010,3,1,0.0,0,50,True,0,1,Chelsea
3,Aaron Ramsdale,GK,Sheffield Utd,2.5,0,0,12,0,0.0,2,0,2020-09-14T17:00:00Z,90,0,0,0,0,2,462939,2,0,0.0,1,50,True,0,1,Wolves
4,Abdoulaye Doucouré,MID,Everton,1.3,0,0,20,1,44.6,0,0,2020-09-13T15:30:00Z,90,0,0,0,0,0,143040,1,0,4.0,3,55,False,0,1,Spurs
5,Aboubakar Kamara,MID,Fulham,0.4,0,0,-2,0,1.8,3,0,2020-09-12T11:30:00Z,62,0,0,0,0,0,6711,3,0,5.0,2,50,True,0,1,Arsenal
6,Adama Traoré,MID,Wolves,2.2,0,0,6,1,1.8,0,0,2020-09-14T17:00:00Z,90,0,0,0,0,0,1189095,2,0,17.0,3,65,False,0,1,Sheffield Utd
7,Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,0,0,2020-09-12T16:30:00Z,0,0,0,0,0,0,2009,3,4,0.0,0,50,False,0,1,Liverpool
8,Adam Lallana,MID,Brighton,1.2,0,0,6,0,27.2,1,0,2020-09-14T19:15:00Z,44,0,0,0,0,0,78657,3,1,2.0,1,65,True,0,1,Chelsea
9,Adam Webster,DEF,Brighton,0.6,0,0,14,0,11.8,3,0,2020-09-14T19:15:00Z,90,0,0,0,0,0,187445,3,1,1.0,1,45,True,0,1,Chelsea
10,Adrien Silva,MID,Leicester,2.0,0,0,0,0,0.0,0,0,2020-09-13T13:00:00Z,0,0,0,0,0,0,39204,3,0,0.0,0,45,False,0,1,West Brom
11,Adrián San Miguel del Castillo,GK,Liverpool,3.3,0,0,0,0,0.0,0,0,2020-09-12T16:30:00Z,0,0,0,0,0,0,18419,3,4,0.0,0,45,True,0,1,Leicester
12,Ahmed El-Sayed Hegazy,DEF,West Brom,0.6,0,0,0,0,0.0,0,0,2020-09-13T13:00:00Z,0,0,0,0,0,0,74895,3,0,0.0,0,45,True,0,1,Leeds
13,Ainsley Maitland-Niles,DEF,Arsenal,3.1,0,0,21,1,2.8,0,0,2020-09-12T11:30:00Z,90,0,0,0,0,0,112927,3,0,4.0,6,50,False,0,1,Fulham
14,Albian Ajeti,FWD,West Ham,0.0,0,0,0,0,0.0,0,0,2020-09-12T19:00:00Z,0,0,0,0,0,0,409,2,0,0.0,0,55,True,0,1,Newcastle
15,Aleksandar Mitrović,FWD,Fulham,0.8,0,0,3,0,0.3,0,0,2020-09-12T11:30:00Z,27,0,0,0,0,0,1435176,3,0,7.0,1,60,True,0,1,Arsenal
16,Alexandre Lacazette,FWD,Arsenal,4.0,0,1,29,1,12.7,0,1,2020-09-12T11:30:00Z,86,0,0,0,0,0,196064,3,0,48.0,7,85,False,0,1,Fulham
17,Alexis Mac Allister,MID,Brighton,0.8,0,0,0,0,0.0,0,0,2020-09-14T19:15:00Z,0,0,0,0,0,0,3939,3,1,0.0,0,55,True,0,1,Chelsea
